SYMBOL,MKTCAP,SECTOR,INDUSTRY
CMC,$3B (Small),Materials,Metals & Mining
CRZBY,$9B (Mid),Financials,Banks
COMM,$7B (Mid),Information Technology,Communications Equipment
CSAL,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
CBU,$3B (Small),Financials,Banks
CVLT,$2B (Small),Information Technology,Software
CBD,$2B (Small),Consumer Staples,Food & Staples Retailing
SBS,$6B (Mid),Utilities,Water Utilities
CIG,$2B (Small),Utilities,Electric Utilities
SID,$5B (Mid),Materials,Metals & Mining
CCU,$4B (Small),Consumer Staples,Beverages
BVN,$3B (Small),Materials,Metals & Mining
CMP,$3B (Small),Materials,Metals & Mining
CSC,$8B (Mid),Information Technology,IT Services
SCOR,$1B (Small),Information Technology,Internet Software & Services
CAG,$16B (Mid),Consumer Staples,Food Products
CXO,$21B (Large),Energy,"Oil, Gas & Consumable Fuels"
CNNX,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
CNMD,$1B (Small),Health Care,Health Care Equipment & Supplies
COP,$60B (Large),Energy,"Oil, Gas & Consumable Fuels"
CNX,$5B (Mid),Energy,"Oil, Gas & Consumable Fuels"
CNSL,$1B (Small),Telecommunication Services,Diversified Telecommunication Services
ED,$21B (Large),Utilities,Multi-Utilities
STZ,$26B (Large),Consumer Staples,Beverages
CTTAY,$35B (Large),Consumer Discretionary,Auto Components
CLR,$22B (Large),Energy,"Oil, Gas & Consumable Fuels"
VLRS,$1B (Small),Industrials,Airlines
CVG,$2B (Small),Information Technology,IT Services
COO,$8B (Mid),Health Care,Health Care Equipment & Supplies
CTB,$2B (Small),Consumer Discretionary,Auto Components
CPS,$2B (Small),Consumer Discretionary,Auto Components
CPA,$4B (Small),Industrials,Airlines
CPRT,$6B (Mid),Industrials,Commercial Services & Supplies
CLB,$5B (Mid),Energy,Energy Equipment & Services
CORE,$2B (Small),Consumer Discretionary,Distributors
CXW,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CLGX,$3B (Small),Information Technology,IT Services
COR,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CSOD,$2B (Small),Information Technology,Internet Software & Services
GLW,$22B (Large),Information Technology,"Electronic Equipment, Instruments & Components"
OFC,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CZZ,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
CSGP,$6B (Mid),Information Technology,Internet Software & Services
COST,$66B (Large),Consumer Staples,Food & Staples Retailing
COTV,$3B (Small),Health Care,Health Care Technology
COT,$2B (Small),Consumer Staples,Beverages
COTY,$14B (Mid),Consumer Staples,Personal Products
COUP,$1B (Small),Information Technology,Internet Software & Services
CUZ,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CVA,$2B (Small),Industrials,Commercial Services & Supplies
CPL,$7B (Mid),Utilities,Electric Utilities
CBRL,$4B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CR,$4B (Mid),Industrials,Machinery
BAP,$15B (Mid),Financials,Banks
CACC,$4B (Mid),Financials,Consumer Finance
CS,$28B (Large),Financials,Capital Markets
CREE,$3B (Small),Information Technology,Semiconductors & Semiconductor Equipment
CEQP,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
CRH,$27B (Large),Materials,Construction Materials
CRTO,$2B (Small),Information Technology,Internet Software & Services
CCI,$30B (Large),Real Estate,Equity Real Estate Investment Trusts (REITs)
CCK,$7B (Mid),Materials,Containers & Packaging
CSGS,$1B (Small),Information Technology,IT Services
CSRA,$5B (Mid),Information Technology,IT Services
CST,$4B (Small),Consumer Discretionary,Specialty Retail
CSX,$34B (Large),Industrials,Road & Rail
CTRP,$22B (Large),Consumer Discretionary,Internet & Direct Marketing Retail
CUBE,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
CUB,$1B (Small),Industrials,Aerospace & Defense
CFR,$5B (Mid),Financials,Banks
CMI,$24B (Large),Industrials,Machinery
CW,$5B (Mid),Industrials,Aerospace & Defense
CVBF,$2B (Small),Financials,Banks
CVI,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
CVRR,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
CVS,$83B (Large),Consumer Staples,Food & Staples Retailing
CYBR,$2B (Small),Information Technology,Software
CY,$3B (Small),Information Technology,Semiconductors & Semiconductor Equipment
CONE,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
CYS,$1B (Small),Financials,Mortgage Real Estate Investment Trusts (REITs)
DHI,$10B (Mid),Consumer Discretionary,Household Durables
DDAIF,$71B (Large),Consumer Discretionary,Automobiles
DAN,$2B (Small),Consumer Discretionary,Auto Components
DHR,$53B (Large),Health Care,Health Care Equipment & Supplies
DANOY,$38B (Large),Consumer Staples,Food Products
DRI,$9B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
DAR,$2B (Small),Consumer Staples,Food Products
DASTY,$19B (Mid),Information Technology,Software
PLAY,$2B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
DVA,$13B (Mid),Health Care,Health Care Providers & Services
DPM,$4B (Mid),Energy,"Oil, Gas & Consumable Fuels"
DCT,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
DDR,$6B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
DF,$2B (Small),Consumer Staples,Food Products
DECK,$2B (Small),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DE,$32B (Large),Industrials,Machinery
DK,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
DVMT,$12B (Mid),Information Technology,Software
DLPH,$17B (Mid),Consumer Discretionary,Auto Components
DAL,$36B (Large),Industrials,Airlines
DLX,$3B (Small),Industrials,Commercial Services & Supplies
DNR,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
XRAY,$13B (Mid),Health Care,Health Care Equipment & Supplies
DEPO,$1B (Small),Health Care,Pharmaceuticals
DERM,$1B (Small),Health Care,Pharmaceuticals
DSGX,$2B (Small),Information Technology,Software
DB,$22B (Large),Financials,Capital Markets
DLAKY,$6B (Mid),Industrials,Airlines
DTEGY,$73B (Large),Telecommunication Services,Diversified Telecommunication Services
DVN,$25B (Large),Energy,"Oil, Gas & Consumable Fuels"
DV,$2B (Small),Consumer Discretionary,Diversified Consumer Services
DXCM,$5B (Mid),Health Care,Health Care Equipment & Supplies
DEO,$63B (Large),Consumer Staples,Beverages
DO,$3B (Small),Energy,Energy Equipment & Services
FANG,$8B (Mid),Energy,"Oil, Gas & Consumable Fuels"
DRH,$2B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
DKS,$7B (Mid),Consumer Discretionary,Specialty Retail
DBD,$2B (Small),Information Technology,"Technology Hardware, Storage & Peripherals"
DLR,$14B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
DGI,$2B (Small),Industrials,Aerospace & Defense
DDS,$2B (Small),Consumer Discretionary,Multiline Retail
DIN,$2B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
DIOD,$1B (Small),Information Technology,Semiconductors & Semiconductor Equipment
DFS,$27B (Large),Financials,Consumer Finance
DISCA,$4B (Mid),Consumer Discretionary,Media
DISH,$26B (Large),Consumer Discretionary,Media
DLB,$5B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
DG,$21B (Large),Consumer Discretionary,Multiline Retail
DLTR,$21B (Large),Consumer Discretionary,Multiline Retail
DM,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
D,$46B (Large),Utilities,Multi-Utilities
DPZ,$8B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
UFS,$2B (Small),Materials,Paper & Forest Products
DCI,$6B (Mid),Industrials,Machinery
DORM,$3B (Small),Consumer Discretionary,Auto Components
DEI,$6B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
DOV,$12B (Mid),Industrials,Machinery
DOW,$62B (Large),Materials,Chemicals
DPS,$16B (Mid),Consumer Staples,Beverages
RDY,$8B (Mid),Health Care,Pharmaceuticals
DW,$3B (Small),Consumer Discretionary,Auto Components
DRQ,$2B (Small),Energy,Energy Equipment & Services
DST,$3B (Small),Information Technology,IT Services
DSW,$2B (Small),Consumer Discretionary,Specialty Retail
DTE,$17B (Mid),Utilities,Multi-Utilities
DUK,$51B (Large),Utilities,Electric Utilities
DRE,$9B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
DNB,$4B (Mid),Industrials,Professional Services
DNKN,$5B (Mid),Consumer Discretionary,"Hotels, Restaurants & Leisure"
DFT,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
DY,$2B (Small),Industrials,Construction & Engineering
DD,$64B (Large),Materials,Chemicals
ETFC,$10B (Mid),Financials,Capital Markets
SSP,$1B (Small),Consumer Discretionary,Media
ELF,$1B (Small),Consumer Staples,Personal Products
EONGY,$13B (Mid),Utilities,Multi-Utilities
EGBN,$2B (Small),Financials,Banks
EXP,$5B (Mid),Materials,Construction Materials
EGRX,$1B (Small),Health Care,Biotechnology
EWBC,$7B (Mid),Financials,Banks
EGP,$2B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
EMN,$11B (Mid),Materials,Chemicals
ETN,$31B (Large),Industrials,Electrical Equipment
EV,$5B (Mid),Financials,Capital Markets
EBAY,$32B (Large),Information Technology,Internet Software & Services
EBIX,$2B (Small),Information Technology,Software
SATS,$5B (Mid),Information Technology,Communications Equipment
ECL,$34B (Large),Materials,Chemicals
EC,$18B (Mid),Energy,"Oil, Gas & Consumable Fuels"
EPC,$5B (Mid),Consumer Staples,Personal Products
EIX,$23B (Large),Utilities,Electric Utilities
EDPFY,$10B (Mid),Utilities,Electric Utilities
EDR,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
EW,$18B (Mid),Health Care,Health Care Equipment & Supplies
ESALY,$17B (Mid),Health Care,Pharmaceuticals
EE,$2B (Small),Utilities,Electric Utilities
ESLT,$4B (Mid),Industrials,Aerospace & Defense
EGO,$2B (Small),Materials,Metals & Mining
ELUXY,$6B (Mid),Consumer Discretionary,Household Durables
EA,$23B (Large),Information Technology,Software
EFII,$2B (Small),Information Technology,"Technology Hardware, Storage & Peripherals"
LLY,$75B (Large),Health Care,Pharmaceuticals
ELLI,$3B (Small),Information Technology,Software
ERJ,$4B (Small),Industrials,Aerospace & Defense
EME,$4B (Mid),Industrials,Construction & Engineering
EMR,$36B (Large),Industrials,Electrical Equipment
EDE,$2B (Small),Utilities,Electric Utilities
ESRT,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
EIG,$1B (Small),Financials,Insurance
ENBL,$7B (Mid),Energy,"Oil, Gas & Consumable Fuels"
EEQ,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
EEP,$8B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ENB,$39B (Large),Energy,"Oil, Gas & Consumable Fuels"
ECA,$12B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ENDP,$4B (Small),Health Care,Pharmaceuticals
ENH,$6B (Mid),Financials,Insurance
ENIA,$8B (Mid),Utilities,Electric Utilities
EOCC,$5B (Mid),Utilities,Independent Power and Renewable Electricity Producers
EGN,$6B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ENR,$3B (Small),Consumer Staples,Household Products
ETE,$17B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ETP,$19B (Mid),Energy,"Oil, Gas & Consumable Fuels"
ERF,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
ENS,$3B (Small),Industrials,Electrical Equipment
EGL,$1B (Small),Industrials,Aerospace & Defense
E,$52B (Large),Energy,"Oil, Gas & Consumable Fuels"
ENLC,$3B (Small),Energy,"Oil, Gas & Consumable Fuels"
ENLK,$6B (Mid),Energy,"Oil, Gas & Consumable Fuels"
NPO,$1B (Small),Industrials,Machinery
ESV,$3B (Small),Energy,Energy Equipment & Services
ENSG,$1B (Small),Health Care,Health Care Providers & Services
ESGR,$4B (Small),Financials,Insurance
ENTG,$2B (Small),Information Technology,Semiconductors & Semiconductor Equipment
ETR,$12B (Mid),Utilities,Electric Utilities
EPD,$53B (Large),Energy,"Oil, Gas & Consumable Fuels"
ENV,$1B (Small),Information Technology,Internet Software & Services
EOG,$60B (Large),Energy,"Oil, Gas & Consumable Fuels"
EPE,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
EPAM,$3B (Small),Information Technology,IT Services
EPR,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
EQT,$12B (Mid),Energy,"Oil, Gas & Consumable Fuels"
EQGP,$6B (Mid),Energy,"Oil, Gas & Consumable Fuels"
EQM,$6B (Mid),Energy,"Oil, Gas & Consumable Fuels"
EFX,$14B (Mid),Industrials,Professional Services
EQIX,$24B (Large),Real Estate,Equity Real Estate Investment Trusts (REITs)
EQC,$4B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
ELS,$6B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
EQY,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
EQR,$22B (Large),Real Estate,Equity Real Estate Investment Trusts (REITs)
ERIE,$6B (Mid),Financials,Insurance
ESE,$1B (Small),Industrials,Machinery
ESNT,$3B (Small),Financials,Thrifts & Mortgage Finance
ESS,$14B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
EL,$28B (Large),Consumer Staples,Personal Products
ESL,$3B (Small),Industrials,Aerospace & Defense
ETSY,$1B (Small),Consumer Discretionary,Internet & Direct Marketing Retail
EEFT,$4B (Small),Information Technology,IT Services
EVER,$2B (Small),Financials,Thrifts & Mortgage Finance
EVR,$3B (Small),Financials,Capital Markets
RE,$9B (Mid),Financials,Insurance
ES,$16B (Mid),Utilities,Electric Utilities
EVTC,$1B (Small),Information Technology,IT Services
EVH,$1B (Small),Health Care,Health Care Technology
EXAS,$2B (Small),Health Care,Biotechnology
EXEL,$5B (Mid),Health Care,Biotechnology
EXC,$30B (Large),Utilities,Electric Utilities
EXLS,$2B (Small),Information Technology,IT Services
EXPE,$18B (Mid),Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,$10B (Mid),Industrials,Air Freight & Logistics
EXPO,$2B (Small),Industrials,Professional Services
ESRX,$47B (Large),Health Care,Health Care Providers & Services
STAY,$3B (Small),Consumer Discretionary,"Hotels, Restaurants & Leisure"
EXR,$9B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
XOG,$3B (Small),Energy,"Oil, Gas & Consumable Fuels"
XOM,$361B (Large),Energy,"Oil, Gas & Consumable Fuels"
FNB,$3B (Small),Financials,Banks
FFIV,$9B (Mid),Information Technology,Communications Equipment
FN,$1B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
FB,$333B (Large),Information Technology,Internet Software & Services
FDS,$6B (Mid),Financials,Capital Markets
FICO,$3B (Small),Information Technology,Software
FRFHF,$11B (Mid),Financials,Insurance
FMSA,$2B (Small),Energy,Energy Equipment & Services
SFUN,$1B (Small),Information Technology,Internet Software & Services
FAST,$14B (Mid),Industrials,Trading Companies & Distributors
FFG,$2B (Small),Financials,Insurance
FCB,$2B (Small),Financials,Banks
FMCC,$2B (Small),Financials,Thrifts & Mortgage Finance
FNMA,$4B (Mid),Financials,Thrifts & Mortgage Finance
FRT,$10B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
FDML,$2B (Small),Consumer Discretionary,Auto Components
FII,$3B (Small),Financials,Capital Markets
FDX,$51B (Large),Industrials,Air Freight & Logistics
RACE,$10B (Mid),Consumer Discretionary,Automobiles
FOE,$1B (Small),Materials,Chemicals
GSM,$2B (Small),Materials,Metals & Mining
FBR,$5B (Mid),Materials,Paper & Forest Products
FGEN,$1B (Small),Health Care,Biotechnology
FGL,$1B (Small),Financials,Insurance
FNF,$9B (Mid),Financials,Insurance
FIS,$25B (Large),Information Technology,IT Services
FITB,$20B (Mid),Financials,Banks
FNGN,$2B (Small),Financials,Capital Markets
FNSR,$3B (Small),Information Technology,Communications Equipment
FEYE,$2B (Small),Information Technology,Software
FAF,$4B (Mid),Financials,Insurance
FBP,$1B (Small),Financials,Banks
FCNCA,$4B (Mid),Financials,Banks
FCF,$1B (Small),Financials,Banks
FDC,$13B (Mid),Information Technology,IT Services
FFBC,$2B (Small),Financials,Banks
FFIN,$3B (Small),Financials,Banks
FHB,$4B (Mid),Financials,Banks
FHN,$5B (Mid),Financials,Banks
FR,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
FIBK,$2B (Small),Financials,Banks
FRME,$1B (Small),Financials,Banks
FMBI,$2B (Small),Financials,Banks
FPAFY,$3B (Small),Financials,Diversified Financial Services
FRC,$13B (Mid),Financials,Banks
FSLR,$3B (Small),Information Technology,Semiconductors & Semiconductor Equipment
FCFS,$2B (Small),Financials,Consumer Finance
FE,$13B (Mid),Utilities,Electric Utilities
FISV,$22B (Large),Information Technology,IT Services
FIT,$2B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
FIVE,$2B (Small),Consumer Discretionary,Specialty Retail
FPRX,$2B (Small),Health Care,Biotechnology
FBC,$2B (Small),Financials,Thrifts & Mortgage Finance
FLT,$14B (Mid),Information Technology,IT Services
FLEX,$8B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
FLIR,$5B (Mid),Information Technology,"Electronic Equipment, Instruments & Components"
FLO,$3B (Small),Consumer Staples,Food Products
FLS,$6B (Mid),Industrials,Machinery
FLR,$7B (Mid),Industrials,Construction & Engineering
FMC,$8B (Mid),Materials,Chemicals
FTI,$8B (Mid),Energy,Energy Equipment & Services
FMX,$17B (Mid),Consumer Staples,Beverages
FL,$10B (Mid),Consumer Discretionary,Specialty Retail
F,$49B (Large),Consumer Discretionary,Automobiles
FRTA,$1B (Small),Materials,Construction Materials
FTNT,$5B (Mid),Information Technology,Software
FTV,$19B (Mid),Industrials,Machinery
FIG,$2B (Small),Financials,Capital Markets
FBHS,$8B (Mid),Industrials,Building Products
FET,$2B (Small),Energy,Energy Equipment & Services
FWRD,$1B (Small),Industrials,Air Freight & Logistics
FOSL,$2B (Small),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
FCPT,$1B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
FI,$3B (Small),Energy,Energy Equipment & Services
FELE,$2B (Small),Industrials,Machinery
BEN,$22B (Large),Financials,Capital Markets
FSP,$1B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
FCX,$21B (Large),Materials,Metals & Mining
FMS,$24B (Large),Health Care,Health Care Providers & Services
FDP,$3B (Small),Consumer Staples,Food Products
FTR,$4B (Mid),Telecommunication Services,Diversified Telecommunication Services
FRO,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
FCN,$2B (Small),Industrials,Professional Services
FUJIY,$16B (Mid),Information Technology,"Technology Hardware, Storage & Peripherals"
FJTSY,$13B (Mid),Information Technology,IT Services
FULT,$3B (Small),Financials,Banks
GK,$2B (Small),Industrials,Commercial Services & Supplies
GIII,$1B (Small),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
GME,$3B (Small),Consumer Discretionary,Specialty Retail
GLPI,$6B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
GPS,$10B (Mid),Consumer Discretionary,Specialty Retail
GRMN,$10B (Mid),Consumer Discretionary,Household Durables
IT,$8B (Mid),Information Technology,IT Services
GLOG,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
GATX,$2B (Small),Industrials,Trading Companies & Distributors
GCP,$2B (Small),Materials,Chemicals
GNRC,$3B (Small),Industrials,Electrical Equipment
GD,$54B (Large),Industrials,Aerospace & Defense
GE,$277B (Large),Industrials,Industrial Conglomerates
GGP,$23B (Large),Real Estate,Equity Real Estate Investment Trusts (REITs)
GIS,$36B (Large),Consumer Staples,Food Products
GM,$54B (Large),Consumer Discretionary,Automobiles
GCO,$1B (Small),Consumer Discretionary,Specialty Retail
GWR,$4B (Mid),Industrials,Road & Rail
GEL,$4B (Mid),Energy,"Oil, Gas & Consumable Fuels"
G,$5B (Mid),Information Technology,IT Services
GNTX,$5B (Mid),Consumer Discretionary,Auto Components
THRM,$1B (Small),Consumer Discretionary,Auto Components
GPC,$14B (Mid),Consumer Discretionary,Distributors
GNW,$2B (Small),Financials,Insurance
GEO,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
GGB,$4B (Mid),Materials,Metals & Mining
ROCK,$1B (Small),Industrials,Building Products
GIMO,$2B (Small),Information Technology,Software
GIL,$6B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
GILD,$95B (Large),Health Care,Biotechnology
GBCI,$3B (Small),Financials,Banks
GSK,$92B (Large),Health Care,Pharmaceuticals
GNL,$1B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
GPN,$10B (Mid),Information Technology,IT Services
GLOB,$1B (Small),Information Technology,Software
GMED,$2B (Small),Health Care,Health Care Equipment & Supplies
GDDY,$6B (Mid),Information Technology,Internet Software & Services
GLNG,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
GMLP,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
GFI,$3B (Small),Materials,Metals & Mining
GG,$12B (Mid),Materials,Metals & Mining
GS,$89B (Large),Financials,Capital Markets
GT,$8B (Mid),Consumer Discretionary,Auto Components
GPRO,$1B (Small),Consumer Discretionary,Household Durables
GOV,$1B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
GGG,$5B (Mid),Industrials,Machinery
GHC,$3B (Small),Consumer Discretionary,Diversified Consumer Services
GPT,$4B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
GTE,$1B (Small),Energy,"Oil, Gas & Consumable Fuels"
LOPE,$3B (Small),Consumer Discretionary,Diversified Consumer Services
GVA,$2B (Small),Industrials,Construction & Engineering
GPK,$4B (Mid),Materials,Containers & Packaging
GXP,$6B (Mid),Utilities,Electric Utilities
GWB,$2B (Small),Financials,Banks
GDOT,$1B (Small),Financials,Consumer Finance
GBX,$1B (Small),Industrials,Machinery
GEF,$1B (Small),Materials,Containers & Packaging
GPI,$2B (Small),Consumer Discretionary,Specialty Retail
GRPN,$2B (Small),Consumer Discretionary,Internet & Direct Marketing Retail
GRUB,$3B (Small),Information Technology,Internet Software & Services
OMAB,$1B (Small),Industrials,Transportation Infrastructure
PAC,$4B (Small),Industrials,Transportation Infrastructure
ASR,$4B (Mid),Industrials,Transportation Infrastructure
GGAL,$3B (Small),Financials,Banks
BSMX,$5B (Mid),Financials,Banks
SIM,$2B (Small),Materials,Metals & Mining
TV,$12B (Mid),Consumer Discretionary,Media
GWRE,$4B (Small),Information Technology,Software
GPOR,$3B (Small),Energy,"Oil, Gas & Consumable Fuels"
GWPH,$3B (Small),Health Care,Pharmaceuticals
HRB,$5B (Mid),Consumer Discretionary,Diversified Consumer Services
HAE,$2B (Small),Health Care,Health Care Equipment & Supplies
HAIN,$4B (Mid),Consumer Staples,Food Products
HAL,$47B (Large),Energy,Energy Equipment & Services
HALO,$1B (Small),Health Care,Biotechnology
HYH,$2B (Small),Health Care,Health Care Equipment & Supplies
HBHC,$3B (Small),Financials,Banks
HBI,$9B (Mid),Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
THG,$4B (Small),Financials,Insurance
HOG,$11B (Mid),Consumer Discretionary,Automobiles
HAR,$8B (Mid),Consumer Discretionary,Household Durables
HRS,$13B (Mid),Information Technology,Communications Equipment
HSC,$1B (Small),Industrials,Machinery
HIG,$18B (Mid),Financials,Insurance
HAS,$10B (Mid),Consumer Discretionary,Leisure Products
HE,$3B (Small),Utilities,Electric Utilities
HA,$3B (Small),Industrials,Airlines
FUL,$2B (Small),Materials,Chemicals
HCA,$26B (Large),Health Care,Health Care Providers & Services
HCP,$14B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
HDS,$8B (Mid),Industrials,Trading Companies & Distributors
HDB,$54B (Large),Financials,Banks
HW,$2B (Small),Materials,Construction Materials
HR,$3B (Small),Real Estate,Equity Real Estate Investment Trusts (REITs)
HCSG,$3B (Small),Industrials,Commercial Services & Supplies
HTA,$4B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
HQY,$2B (Small),Health Care,Health Care Providers & Services
HLS,$4B (Small),Health Care,Health Care Providers & Services
HTLD,$2B (Small),Industrials,Road & Rail
HTLF,$1B (Small),Financials,Banks
HL,$3B (Small),Materials,Metals & Mining
HEI,$2B (Small),Industrials,Aerospace & Defense
HEINY,$41B (Large),Consumer Staples,Beverages
HELE,$2B (Small),Consumer Discretionary,Household Durables
HLX,$1B (Small),Energy,Energy Equipment & Services
HLTOY,$5B (Mid),Telecommunication Services,Diversified Telecommunication Services
HP,$9B (Mid),Energy,Energy Equipment & Services
HSIC,$12B (Mid),Health Care,Health Care Providers & Services
HLF,$4B (Mid),Consumer Staples,Personal Products
HRI,$1B (Small),Industrials,Trading Companies & Distributors
MLHR,$2B (Small),Industrials,Commercial Services & Supplies
HSY,$21B (Large),Consumer Staples,Food Products
HTZ,$2B (Small),Industrials,Road & Rail
HES,$18B (Mid),Energy,"Oil, Gas & Consumable Fuels"
HPE,$40B (Large),Information Technology,"Technology Hardware, Storage & Peripherals"
HXL,$5B (Mid),Industrials,Aerospace & Defense
HF,$1B (Small),Real Estate,Real Estate Management & Development
HCLP,$1B (Small),Materials,Metals & Mining
HIW,$5B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
HRC,$4B (Small),Health Care,Health Care Equipment & Supplies
HI,$2B (Small),Industrials,Machinery
HTH,$3B (Small),Financials,Banks
HLT,$25B (Large),Consumer Discretionary,"Hotels, Restaurants & Leisure"
HIMX,$1B (Small),Information Technology,Semiconductors & Semiconductor Equipment
HINOY,$6B (Mid),Industrials,Machinery
HTHIY,$26B (Large),Information Technology,"Electronic Equipment, Instruments & Components"
HMSY,$2B (Small),Health Care,Health Care Technology
HNI,$2B (Small),Industrials,Commercial Services & Supplies
HEP,$2B (Small),Energy,"Oil, Gas & Consumable Fuels"
HFC,$5B (Mid),Energy,"Oil, Gas & Consumable Fuels"
HOLI,$1B (Small),Information Technology,"Electronic Equipment, Instruments & Components"
HOLX,$11B (Mid),Health Care,Health Care Equipment & Supplies
HOMB,$4B (Small),Financials,Banks
HD,$158B (Large),Consumer Discretionary,Specialty Retail
HMC,$53B (Large),Consumer Discretionary,Automobiles
HON,$86B (Large),Industrials,Industrial Conglomerates
HOKCY,$23B (Large),Utilities,Gas Utilities
HOPE,$3B (Small),Financials,Banks
HMN,$2B (Small),Financials,Insurance
HZNP,$3B (Small),Health Care,Pharmaceuticals
HRL,$18B (Mid),Consumer Staples,Food Products
HPT,$5B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
HST,$13B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
TWNK,$2B (Small),Consumer Staples,Food Products
HMHC,$1B (Small),Consumer Discretionary,Diversified Consumer Services
HLI,$2B (Small),Financials,Capital Markets
HHC,$5B (Mid),Real Estate,Real Estate Management & Development
HPQ,$26B (Large),Information Technology,"Technology Hardware, Storage & Peripherals"
HRG,$3B (Small),Consumer Staples,Household Products
HSBC,$157B (Large),Financials,Banks
HSNI,$2B (Small),Consumer Discretionary,Internet & Direct Marketing Retail
HNP,$3B (Small),Utilities,Independent Power and Renewable Electricity Producers
HUBG,$1B (Small),Industrials,Air Freight & Logistics
HUBB,$6B (Mid),Industrials,Electrical Equipment
HUBS,$2B (Small),Information Technology,Software
HPP,$5B (Mid),Real Estate,Equity Real Estate Investment Trusts (REITs)
HUM,$32B (Large),Health Care,Health Care Providers & Services
HBAN,$14B (Mid),Financials,Banks
HII,$8B (Mid),Industrials,Aerospace & Defense
HUN,$5B (Mid),Materials,Chemicals
